Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Quantity,Original Unit Price (USD)
4-Sep-24,850423000000.0,MAIN BODY POWER TRANSFORMER WITH ITS ACCESSORIES,China,Tanzania,589121.35,,,,,True,Real (Market),1,589121.35
2-Sep-24,85042390.0,"Electrical transformers , static converters (for example , rectifiers) and inductors. , Having a power handling capacity exceeding 10 , 000 kVA: , Other",China,Ethiopia,930915.5766666667,0.0,,,,True,Real (Market),3,2792746.73
2-Sep-24,850423000000.0,TRANSFORMER,China,Tanzania,16.27722,,,,,True,Real (Market),1000,16277.22
2-Sep-24,850423000000.0,TRANSFORMER,China,Tanzania,16.27722,,,,,True,Real (Market),1000,16277.22
2-Sep-24,850423000000.0,TRANSFORMER,China,Tanzania,16.27722,,,,,True,Real (Market),1000,16277.22
2-Sep-24,850423000000.0,TRANSFORMER,China,Tanzania,16.27722,,,,,True,Real (Market),1000,16277.22
30-Aug-24,85042300000.0,RECTIFIER TRANSFORMER,China,Uganda,5582.5,,,,,True,Real (Market),2,11165.0
30-Aug-24,85042390.0,"TWO WAY TRANSFORMERS , ,",China,Sri Lanka,4.0,,,,,True,Real (Market),18,72.0
29-Aug-24,8504230000.0,8504230000 - - Liquid dielectric transformers of a,China,Ivory Coast,18904.780576923076,,,,,True,Real (Market),52,983048.59
29-Aug-24,85042310000.0,1 SET TRANSFORMER SFZ 12500 67-13.2,China,Philippines,114900.0,,,,,True,Real (Market),1,114900.0
28-Aug-24,85042310.0,"132-33KV , 80-120 MVA POWER TRANSFORMER",China,Bangladesh,883970.0,120000.0,,,,True,Real (Market),3,2651910.0
28-Aug-24,85042329.0,SUBMERGED ARC FURNACE TRANSFORMER,China,Indonesia,256415.0,,,,,True,Real (Market),2,512830.0
27-Aug-24,85042329000.0,29 PACKAGES STC 1 UNIT POWER TRANSFORMER WITH ACCESSORIES AND SPARE PARTS SPECS 35KV-750KV MODEL SFZ-60000-69 BRAND CHINT,China,Philippines,604786.3,,,35.0,750.0,True,Real (Market),1,604786.3
